composer,title,performances,beat_intervals,common_rubato_amount,median_absolute_rubato_amount,median_relative_rubato_amount,relative_to_absolute_ratio
Bach,Fugue_bwv_848,9,216,0.03303214839128573,0.03754095685139816,0.024633226221672043,0.6561693757348812
Beethoven,Piano_Sonatas_21-1,23,1204,0.06404076804911885,0.08473862670495971,0.04929273171545323,0.5817032164927467
Chopin,Etudes_op_10_8,28,377,0.05745001851021678,0.08938359815239183,0.06076773323567796,0.6798532895495422
Haydn,Keyboard_Sonatas_50-1,18,598,0.04613392505503372,0.06099427085027072,0.04477163418041975,0.7340301565424983
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,29,283,0.13859835657049457,0.1574234992878204,0.08099509159989288,0.5145044543305952
Mozart,Piano_Sonatas_8-1,5,530,0.041691444896886615,0.05444730312400736,0.02922425111042503,0.5367437767094699
Prokofiev,Toccata,8,451,0.02745666935532318,0.035847795996761675,0.026038784846120593,0.7263705932848094
Ravel,Miroirs_4_Alborada_del_gracioso,8,546,0.11606853263317406,0.13584567040236445,0.06802999258659731,0.5007888170826328
Schubert,Impromptu_op.90_D.899_3,12,340,0.09888461193697888,0.12429919522000475,0.0735644487799998,0.5918336691544429
Scriabin,Sonatas_5,7,1002,0.5698724588317241,0.592886777968327,0.13605182845619432,0.22947354117494323
