composer,title,aligned_performances,beat_intervals,usable_values,median_log2_score_relative,median_speed_multiplier_vs_score,performance_median_q25,performance_median_q75,common_score_deviation_magnitude,between_performer_iqr,median_pairwise_distance,max_reference_distance_difference
Bach,Fugue_bwv_848,9,216,1944,-0.18982329405093468,0.8767130973923041,-0.2989022628805362,-0.14295708278061306,0.20054451234811066,0.1559257121073384,0.13774949507898712,1.6653345369377348e-16
Beethoven,Piano_Sonatas_21-1,23,1204,27692,0.049169326729506066,1.0346690117824267,-0.0020178043529545378,0.07955460937111711,0.09365992620770039,0.12308103971056411,0.09276662777655287,3.885780586188048e-16
Chopin,Etudes_op_10_8,28,377,10556,-0.023135106883901656,0.9840918585435433,-0.11771264549121134,0.00907595323813725,0.06873472102777581,0.16534382580504825,0.12366135722826851,4.163336342344337e-16
Haydn,Keyboard_Sonatas_50-1,18,598,10764,-0.025202470742292902,0.9826826771913664,-0.06920815442933048,0.00879570127599361,0.04655117909966043,0.10694294373649423,0.08075289471236391,2.7755575615628914e-16
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,29,283,8207,-0.34392716438687404,0.7878936624870382,-0.3888477844414558,-0.2793104425347247,0.34413887633677,0.1731891239463887,0.13481272252004467,4.0245584642661925e-16
Mozart,Piano_Sonatas_8-1,5,530,2650,0.1690610750225737,1.124326519987215,0.08287228332971903,0.18430325870046255,0.1494805993743465,0.09735572002073992,0.09639004119990713,2.7755575615628914e-16
Prokofiev,Toccata,8,451,3584,0.04321341041538185,1.0304063650311137,0.02899849954395407,0.053904521407954764,0.04401960522755764,0.07430957381053489,0.06346267944261581,2.0122792321330962e-16
Ravel,Miroirs_4_Alborada_del_gracioso,8,546,4352,-0.08488659740984611,0.9428586461129714,-0.09460532786072007,-0.043003633465066485,0.12034194704366251,0.1786491258211617,0.1395536967629513,1.942890293094024e-16
Schubert,Impromptu_op.90_D.899_3,12,340,4080,0.2507821221351963,1.189851989591021,0.09981554270588719,0.38286242028578765,0.23649414783125947,0.26404324231248444,0.20789865162934196,2.498001805406602e-16
Scriabin,Sonatas_5,7,1002,7014,-0.1430903833194347,0.9055772477832293,-0.2145628328301703,-0.0027186487860796707,0.5110705889314134,0.2673379504825676,0.26135710042668914,2.220446049250313e-16
