work,performances,dynamics_corr_raw,dynamics_corr_smooth,dynamics_level_std,pedal_corr_raw,pedal_corr_smooth,pedal_level_std
Bach/Fugue/bwv_848,9,0.42914395712445164,0.4852599707210865,0.015141341884272474,0.17871754476340318,0.2079692506088145,0.0949259552658099
Bach/Fugue/bwv_854,5,0.5554136572334647,0.6985057065175397,0.022538508450100317,0.4727169593089163,0.438173663876181,0.015764972726981883
Bach/Fugue/bwv_857,6,0.5541074965091836,0.6784485107693373,0.01399549761290186,0.198620813970281,0.2520329973856823,0.15077952210013246
Bach/Fugue/bwv_860,6,0.5153216907630142,0.6131503802344845,0.03153874560596202,0.39232929884433726,0.5772987907313811,0.07788146269031304
Bach/Fugue/bwv_883,6,0.4484938382137453,0.5363704151242945,0.07171593931913145,0.02964190356933037,0.00460733488799922,0.183718573392536
Bach/Fugue/bwv_885,6,0.4674525121198337,0.553876259785825,0.03198956551348849,0.4260177115923655,0.6163135634692445,0.05619333825856798
Bach/Fugue/bwv_889,6,0.2500925986908858,0.4383774588092388,0.04405876400240696,0.1173689124684774,0.04906505640917861,0.04579663716351711
Bach/Prelude/bwv_848,9,0.438538274743469,0.569273624653905,0.015369240272241803,0.19267306499750517,0.2408745731836513,0.08064157488489317
Bach/Prelude/bwv_854,5,0.48016074462321806,0.345072092035084,0.018373468267182183,0.5571209078475945,0.7147665736799946,0.03856803144395202
Bach/Prelude/bwv_857,6,0.3653026612079884,0.28162068786629085,0.017073900407258456,0.304835097686058,0.43256935066844643,0.16763389941483692
Bach/Prelude/bwv_860,6,0.5167373402526964,0.6630998381389791,0.019131015057740328,0.03820569409361669,0.011149015917443937,0.10383015320369164
Bach/Prelude/bwv_885,6,0.4729051100131304,0.5628098455855813,0.05815046560523949,0.29797112864208725,0.27433008556337146,0.25931978146814316
Bach/Prelude/bwv_889,6,0.538223350368697,0.5668819562843417,0.04395627682823482,0.19757084105768333,0.2684917818016318,0.08576208027140814
Balakirev/Islamey,10,0.6791031462156472,0.8145128947313144,0.023128766041064803,0.5883883772343694,0.6968230837397902,0.10158423292265413
Beethoven/Piano_Sonatas/11-1,7,0.843575418189406,0.9171837176906152,0.022037292753943307,0.524626317071782,0.6210101072622933,0.1124673682088852
Beethoven/Piano_Sonatas/16-1,7,0.8332228233687796,0.8772418589681129,0.017643276034540814,0.6321298324781894,0.7229717782603717,0.09478064107512266
Beethoven/Piano_Sonatas/17-1_no_repeat,11,0.6820415579121498,0.813671567460472,0.01904640922792331,0.6612417926195325,0.7429324576778186,0.06518271262482053
Beethoven/Piano_Sonatas/18-1,9,0.7432051077332064,0.8335577285092959,0.014276513474186394,0.6318576422213669,0.7538721442632059,0.060535722382317095
Beethoven/Piano_Sonatas/21-1_no_repeat,23,0.8022617129228263,0.8865261767399271,0.018783325461988076,0.6484557392149468,0.7521421678788741,0.09510566644024566
Beethoven/Piano_Sonatas/23-1,17,0.8370641278110968,0.9092038924848382,0.017630592823864796,0.6089878307285159,0.7098845881853613,0.07443311658605146
Beethoven/Piano_Sonatas/24-1_no_2_repeat,5,0.7186008631784173,0.8008844103226993,0.009730572983489411,0.6169129414552824,0.7548043759545422,0.12356419518152685
Beethoven/Piano_Sonatas/26-1,7,0.6957361820841802,0.8068058788618208,0.019302975636822744,0.5225807322012008,0.6765729290373402,0.08086427882880498
Beethoven/Piano_Sonatas/26-2,5,0.7770997054184052,0.8281476436118347,0.023856015112154533,0.6993622672121438,0.7241899375555791,0.08667925465665083
Beethoven/Piano_Sonatas/27-1,7,0.8296537211633132,0.8955181496784338,0.03276353472037939,0.5468959137449568,0.5750806743128996,0.06837197341870625
Beethoven/Piano_Sonatas/28-1,5,0.7822716830293984,0.7994285292070609,0.031344869908888524,0.5548574265064097,0.6489297255383124,0.1154513231179911
Beethoven/Piano_Sonatas/3-1,8,0.8043859744271984,0.8967237620407243,0.01831296571141183,0.6169249614164167,0.6673501635028328,0.09835077017807249
Beethoven/Piano_Sonatas/30-1,8,0.8264840634535224,0.9057806264184529,0.00992000199793264,0.5234659055627103,0.5975511735303033,0.07224894612647002
Beethoven/Piano_Sonatas/31-1,21,0.7708357874991572,0.8500102829654409,0.022013062507729213,0.567634602263908,0.6611249243098344,0.06860467658092263
Beethoven/Piano_Sonatas/31-2,7,0.815102429100344,0.9167272326661688,0.030850319821636548,0.5099687086536833,0.4640024322853832,0.08077142161785832
Beethoven/Piano_Sonatas/31-3_4,10,0.8832867945506699,0.9348845870775424,0.020395884388641608,0.7020022049506828,0.807915160648486,0.05627416019101925
Beethoven/Piano_Sonatas/32-1,9,0.8434107250225547,0.8763175486963899,0.02167188866505476,0.4843586525628925,0.5163820826158524,0.09781877415704371
Beethoven/Piano_Sonatas/4-1,9,0.735021330921597,0.8424736743898364,0.01086278468001333,0.5720746728631072,0.6720194195313084,0.059147010692376274
